,password,entropy
0,Ababe2!,0.916014310268788
1,Tleet2!,0.9503183181208257
2,AAyceemannn27,0.9335672996119594
3,Aleet0019!,0.9380997289303706
4,Ahabe2!,0.9393174921452053
5,Abingg201!,0.8947795809525093
6,Abingo1219!,0.967394505407142
7,Ahackerm1n2019!,0.9535466329836223
8,Abigo1,0.9061445823687654
9,Abingo111!,0.8958339693710465
10,llet!,0.896000733915246
11,Ababe1!,0.9373361596150245
12,Tbingo2234!,0.9711953007326579
13,Aninja201,0.9496923403864856
14,Ahackerman123!,0.9611040623388705
15,Acafe100,0.9296014112760215
16,Aleet114!,0.9103412767943907
17,Aleet770,0.9019700378638297
18,Aleet777!,0.930783146605062
19,llett,0.8470070992343136
20,Aninja2019!,0.9629555979580682
21,Abbgo707!,0.9398310232795778
22,Aninnnaiai11,0.9261755537165741
23,Ahackerman2019!,0.9646516330628319
24,AAccckeem12019!,0.9617943940639937
25,Abingo707!,0.9489998192132367
26,Aleet2019!,0.9493725577938866
27,lleet!,0.755844603815506
28,Ahyper123!,0.9543991456490439
29,Ababe10!,0.9225704725848373
30,Ahackerm1n2019!,0.9535466329836223
31,Aleet1019!,0.930640417084464
32,Aleet2019!,0.9493725577938866
33,llelll,0.4742312897260595
34,Ahackerman2019!,0.9646516330628319
35,Ahypear77a777,0.9562864325223382
36,Abinga2019!,0.9680308672569503
37,Ahyper101!,0.9382205521286044
38,Ahackerman1234,0.9653286075179656
39,Abingo1,0.9182963180518985
40,llllll,0.04472879972300151
41,Ahackerm122019!,0.9422071899311851
42,Abingo77!,0.9389465749958188
43,llet2!,0.9612045977596186
44,lllll01!,0.860936913012027
45,Ahackerman2019!,0.9646516330628319
46,Abingo111!,0.8958339693710465
47,Ababe00,0.9430918028964171
48,Tbyoet201!,0.9661816398208455
49,Ahackerman123!,0.9611040623388705
50,Aleet2019!,0.9493725577938866
51,Ahackerman1234,0.9653286075179656
52,Abingo10,0.9037359950151511
53,Ahackerman111!,0.9674021899173242
54,Aleet114!,0.9103412767943907
55,Tlast!,0.9604669181419421
56,Ahackerman1234!,0.9567247443531663
57,Ahackerman2019!,0.9646516330628319
58,lleet!,0.755844603815506
59,Ahyperraman77,0.9572294150262101
60,Aninnni111!,0.9299958934598848
61,Apass111!,0.9049873293515931
62,Ahackerman1219!,0.9720206778899985
63,AAAcccrre22239!,0.9407456296804723
64,Abingg2019,0.9521093955077712
65,Ahaber10!,0.9277870160228662
66,Abingo11,0.9641297308498755
67,Abingo103!,0.9639716942241627
68,Aleet0019!,0.9380997289303706
69,Abingo101!,0.8943656936686258
70,Aningo2019!,0.9666834290052116
71,Ahackerma700,0.9468822808419235
72,llllll!,0.7067258708499657
73,llllll!,0.7067258708499657
74,Acafe123!,0.9269934680094976
75,Abingo2019,0.9539748480659781
76,Aleett014!,0.944231567935781
77,Acafe123!,0.9269934680094976
78,Aleet2019!,0.9493725577938866
79,Ahyper2019*,0.9603688375380537
80,llatt,0.888860121101299
81,Ahackerman2019!,0.9646516330628319
82,Ahackerman2019!,0.9646516330628319
83,lllll!!l,0.7032204995510176
84,Abingo2219!,0.9688524499478751
85,Ababe2019!,0.9457352722350401
86,Abingo10,0.9037359950151511
87,Aninja0009!,0.9381564506970312
88,Ahackerman2019!,0.9646516330628319
89,Abigo0,0.9621575158752141
90,lleet,0.8000240175860259
91,Ababe2019!,0.9457352722350401
92,Abingo70,0.9351647377188138
93,Alee72019!,0.9543413235998417
94,Ababe777!,0.8966867594133194
95,Ahabe10,0.9577596970537278
96,lletl!,0.8948746149749263
97,Ababe2!,0.916014310268788
98,Ahyyer71014,0.9052063305883122
99,Ahackerman2019!,0.9646516330628319
